219-06-7487,899-42-6637,SIBLING
220-58-0896,896-25-8370,SIBLING
220-62-1837,895-45-1258,SIBLING
222-79-5145,893-63-6176,SIBLING
234-37-9132,893-12-3541,SIBLING
237-02-1263,890-81-1579,SIBLING
240-77-5251,890-58-5813,SIBLING
243-46-3035,888-09-8856,SIBLING
244-58-2483,885-46-4577,SIBLING
245-63-7539,884-33-9676,SIBLING
247-72-6304,883-98-9193,SIBLING
249-54-6589,881-20-2396,SIBLING
250-75-5238,879-22-8665,SIBLING
252-29-4929,878-32-2595,SIBLING
253-58-9660,874-32-9427,SIBLING
255-89-9885,873-29-2620,SIBLING
256-31-7892,873-28-7561,SIBLING
258-98-0727,872-88-7149,SIBLING
260-71-8148,871-98-0966,SIBLING
260-95-0836,867-78-8919,SIBLING
263-14-7231,863-96-9468,SIBLING
266-39-6752,861-75-4699,SIBLING
267-89-6011,861-16-2336,SIBLING
270-75-5897,859-81-0332,SIBLING
271-53-9609,859-55-6280,SIBLING
271-78-8919,859-40-9947,SIBLING
272-24-9625,859-33-6845,SIBLING
272-55-4293,858-93-2794,SIBLING
272-95-2412,858-54-4075,SIBLING
274-27-6513,856-03-3848,SIBLING
274-72-8781,855-81-1387,SIBLING
276-19-9235,853-69-5350,SIBLING
276-40-8351,852-88-1263,SIBLING
280-97-6061,852-52-0933,SIBLING
284-01-5241,848-25-8473,SIBLING
287-46-9776,846-65-7776,SIBLING
288-59-8593,846-48-9238,SIBLING
289-76-4820,843-95-9006,SIBLING
291-79-2723,842-04-5706,SIBLING
298-33-3046,839-36-4360,SIBLING
298-36-6290,838-45-9343,SIBLING
301-93-2650,918-23-4923,PARENT
302-08-4754,917-80-4656,PARENT
303-86-0371,915-75-5600,PARENT
304-37-2483,915-74-6216,PARENT
305-25-0352,913-69-6997,PARENT
306-99-5229,913-31-1925,PARENT
307-09-8719,910-33-1979,PARENT
308-26-6839,903-87-6930,PARENT
308-53-8009,900-49-2935,PARENT
311-75-6483,900-41-3309,PARENT
314-45-9119,899-42-6637,PARENT
318-12-3766,896-25-8370,PARENT
318-22-2828,895-45-1258,PARENT
323-32-8478,893-63-6176,PARENT
323-71-3763,893-12-3541,PARENT
328-87-5383,890-81-1579,PARENT
329-25-8167,890-58-5813,PARENT
330-07-1068,888-09-8856,PARENT
331-13-6835,885-46-4577,PARENT
335-29-6415,884-33-9676,PARENT
335-36-7489,883-98-9193,PARENT
335-71-7747,881-20-2396,PARENT
337-28-4424,879-22-8665,PARENT
338-31-6051,878-32-2595,PARENT
341-10-3619,874-32-9427,PARENT
346-96-9018,873-29-2620,PARENT
348-63-8190,873-28-7561,PARENT
349-36-6161,872-88-7149,PARENT
349-76-9672,871-98-0966,PARENT
351-83-4608,867-78-8919,PARENT
358-19-2542,863-96-9468,PARENT
358-44-8218,861-75-4699,PARENT
358-70-5810,861-16-2336,PARENT
362-49-5861,859-81-0332,PARENT
364-47-2445,859-55-6280,PARENT
367-54-3328,859-40-9947,PARENT
367-66-5520,859-33-6845,PARENT
369-63-7305,858-93-2794,PARENT
370-83-8697,858-54-4075,PARENT
378-88-6858,856-03-3848,PARENT
383-09-0127,855-81-1387,PARENT
383-26-3713,853-69-5350,PARENT
386-26-5935,852-88-1263,PARENT
386-78-8432,852-52-0933,PARENT
391-46-9135,848-25-8473,PARENT
392-52-7176,846-65-7776,PARENT
397-28-4474,846-48-9238,PARENT
399-27-1032,843-95-9006,PARENT
400-15-2581,842-04-5706,PARENT
400-52-2389,839-36-4360,PARENT
401-01-1355,838-45-9343,PARENT
401-18-7727,743-42-9893,SIBLING
403-32-7169,739-69-6504,SIBLING
403-47-9764,738-96-4379,SIBLING
406-16-1052,735-14-8834,SIBLING
409-82-6348,733-23-4524,SIBLING
414-19-5111,732-81-7137,SIBLING
416-18-9547,732-63-7938,SIBLING
416-68-7164,732-59-1833,SIBLING
418-93-3418,731-38-1268,SIBLING
420-23-6708,729-58-5518,SIBLING
420-54-7482,729-54-4701,SIBLING
420-73-0894,728-68-6045,SIBLING
420-88-4730,727-99-5003,SIBLING
422-30-2030,727-44-5466,SIBLING
423-74-9466,723-85-8865,SIBLING
426-79-4353,720-64-2005,SIBLING
427-59-5057,718-09-6226,SIBLING
428-17-3887,713-68-3650,SIBLING
301-93-2650,204-79-2659,PARENT
302-08-4754,205-52-5697,PARENT
303-86-0371,206-59-6235,PARENT
304-37-2483,209-45-4933,PARENT
305-25-0352,209-68-2617,PARENT
306-99-5229,212-34-2732,PARENT
307-09-8719,213-32-1448,PARENT
308-26-6839,214-77-6416,PARENT
308-53-8009,215-46-0151,PARENT
311-75-6483,218-31-0921,PARENT
314-45-9119,219-06-7487,PARENT
318-12-3766,220-58-0896,PARENT
318-22-2828,220-62-1837,PARENT
323-32-8478,222-79-5145,PARENT
323-71-3763,234-37-9132,PARENT
328-87-5383,237-02-1263,PARENT
329-25-8167,240-77-5251,PARENT
330-07-1068,243-46-3035,PARENT
331-13-6835,244-58-2483,PARENT
335-29-6415,245-63-7539,PARENT
335-36-7489,247-72-6304,PARENT
335-71-7747,249-54-6589,PARENT
337-28-4424,250-75-5238,PARENT
338-31-6051,252-29-4929,PARENT
341-10-3619,253-58-9660,PARENT
346-96-9018,255-89-9885,PARENT
348-63-8190,256-31-7892,PARENT
349-36-6161,258-98-0727,PARENT
349-76-9672,260-71-8148,PARENT
351-83-4608,260-95-0836,PARENT
358-19-2542,263-14-7231,PARENT
358-44-8218,266-39-6752,PARENT
358-70-5810,267-89-6011,PARENT
362-49-5861,270-75-5897,PARENT
364-47-2445,271-53-9609,PARENT
367-54-3328,271-78-8919,PARENT
367-66-5520,272-24-9625,PARENT
369-63-7305,272-55-4293,PARENT
370-83-8697,272-95-2412,PARENT
378-88-6858,274-27-6513,PARENT
383-09-0127,274-72-8781,PARENT
383-26-3713,276-19-9235,PARENT
386-26-5935,276-40-8351,PARENT
386-78-8432,280-97-6061,PARENT
391-46-9135,284-01-5241,PARENT
392-52-7176,287-46-9776,PARENT
397-28-4474,288-59-8593,PARENT
399-27-1032,289-76-4820,PARENT
400-15-2581,291-79-2723,PARENT
400-52-2389,298-33-3046,PARENT
401-01-1355,298-36-6290,PARENT
