723-85-8865,07/09/15,68,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus, Other 
595-90-8809,5/19/2015,85,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue, Other 
556-65-1110,6/21/2015,8,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate, Other 
770-22-6561,4/19/2015,26,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt, Neglect 
627-79-5997,5/19/2015,92,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim, Deprivation 
330-07-1068,03/04/15,91,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et, Abuse 
801-38-9691,5/27/2015,96,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis, Perceived Physical Condition 
122-24-4317,07/11/15,76,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem, Neglect 
932-97-4077,05/12/15,30,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut, Neglect 
979-94-2467,3/22/2015,40,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in, Neglect 
253-58-9660,02/07/15,34,sit amet nulla quisque arcu libero rutrum ac lobortis vel, Perceived Physical Condition 
664-34-9245,4/17/2015,99,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed, Neglect 
506-14-4016,6/29/2015,34,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante, Perceived Physical Condition 
513-35-3310,07/06/15,44,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus, Neglect 
627-15-0737,6/14/2015,64,sem duis aliquam convallis nunc proin at turpis a pede, Other 
252-29-4929,3/27/2015,46,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis, Perceived Physical Condition 
873-29-2620,6/23/2015,43,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus, Other 
729-58-5518,06/02/15,58,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id, Other 
791-62-3536,3/13/2015,54,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a, Abuse 
400-52-2389,04/10/15,36,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit, Other 
821-11-2735,2/26/2015,19,amet erat nulla tempus vivamus in felis eu sapien cursus, Other 
288-59-8593,04/11/15,66,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id, SUB 
838-11-7607,04/04/15,28,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque, Other 
428-17-3887,03/04/15,52,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec, Other 
484-37-1068,05/03/15,14,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis, Other 
420-54-7482,2/20/2015,31,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed, Neglect 
529-97-6193,5/26/2015,14,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut, Other 
581-26-5472,7/14/2015,51,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis, Other 
349-76-9672,5/28/2015,5,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan, Perceived Physical Condition 
989-68-4793,7/17/2015,20,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero, Mild Distress 
307-09-8719,06/05/15,50,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris, SUB 
797-43-7696,02/07/15,17,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo, Neglect 
220-62-1837,3/20/2015,50,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus, Abuse 
723-85-8865,6/19/2015,74,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut, Neglect 
620-83-1546,2/20/2015,67,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis, Other 
378-88-6858,03/06/15,72,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus, Other 
595-90-8809,3/23/2015,7,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam, Other 
556-65-1110,2/13/2015,39,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti, Other 
770-22-6561,5/14/2015,64,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie, Neglect 
627-79-5997,3/29/2015,63,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet, Perceived Physical Condition 
330-07-1068,7/13/2015,81,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit, Neglect 
801-38-9691,6/17/2015,73,etiam justo etiam pretium iaculis justo in hac habitasse platea, Neglect 
122-24-4317,1/19/2015,84,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis, Other 
932-97-4077,03/02/15,19,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a, Deprivation 
979-94-2467,3/16/2015,75,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices, Perceived Physical Condition 
253-58-9660,06/10/15,73,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis, Neglect 
664-34-9245,4/23/2015,55,sapien varius ut blandit non interdum in ante vestibulum ante, Neglect 
506-14-4016,07/04/15,59,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit, Other 
513-35-3310,4/18/2015,14,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh, Other 
627-15-0737,1/23/2015,74,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam, Other 
252-29-4929,1/17/2015,77,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis, Other 
873-29-2620,05/08/15,27,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque, Other 
729-58-5518,12/30/2014,56,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris, Other 
791-62-3536,1/31/2015,67,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis, Parental Illness 
400-52-2389,06/09/15,65,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis, Other 
821-11-2735,5/28/2015,67,accumsan felis ut at dolor quis odio consequat varius integer ac leo, Neglect 
288-59-8593,01/12/15,54,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis, Neglect 
838-11-7607,03/12/15,56,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa, Deprivation 
428-17-3887,1/29/2015,67,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat, Perceived Physical Condition 
484-37-1068,03/04/15,93,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl, Deprivation 
420-54-7482,3/24/2015,11,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit, Neglect 
529-97-6193,2/22/2015,45,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus, Other 
581-26-5472,6/18/2015,63,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in, Other 
349-76-9672,1/18/2015,52,suspendisse potenti in eleifend quam a odio in hac habitasse platea, Deprivation 
989-68-4793,12/27/2014,100,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit, Neglect 
307-09-8719,3/21/2015,81,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel, Neglect 
797-43-7696,03/01/15,7,in est risus auctor sed tristique in tempus sit amet sem fusce consequat, Neglect 
220-62-1837,5/13/2015,98,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer, Other 
723-85-8865,2/23/2015,36,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus, Neglect 
620-83-1546,02/02/15,92,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede, Neglect 
378-88-6858,4/20/2015,79,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum, SUB 
595-90-8809,6/13/2015,84,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum, Neglect 
556-65-1110,6/24/2015,36,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum, Perceived Physical Condition 
770-22-6561,7/17/2015,46,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit, Deprivation 
627-79-5997,12/30/2014,75,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel, Other 
330-07-1068,01/09/15,18,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat, Other 
801-38-9691,5/19/2015,65,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut, Perceived Physical Condition 
122-24-4317,2/22/2015,29,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis, Other 
932-97-4077,5/19/2015,49,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla, Other 
979-94-2467,07/09/15,16,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio, Other 
253-58-9660,12/28/2014,25,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet, Other 
664-34-9245,4/13/2015,100,semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis, Other 
506-14-4016,5/19/2015,95,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum, Other 
513-35-3310,1/31/2015,63,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices, Mild Distress 
627-15-0737,5/15/2015,86,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas, Other 
252-29-4929,12/22/2014,18,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis, Perceived Physical Condition 
873-29-2620,2/17/2015,90,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac, Other 
729-58-5518,03/12/15,96,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie, SUB 
791-62-3536,04/02/15,80,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu, Other 
400-52-2389,05/11/15,96,tortor sollicitudin mi sit amet lobortis sapien sapien non mi, Neglect 
821-11-2735,03/09/15,3,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus, Other 
288-59-8593,3/13/2015,1,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque, Perceived Physical Condition 
838-11-7607,02/09/15,29,etiam justo etiam pretium iaculis justo in hac habitasse platea, Perceived Physical Condition 
428-17-3887,01/02/15,1,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis, Other 
484-37-1068,4/13/2015,91,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit, Perceived Physical Condition 
420-54-7482,1/29/2015,3,amet cursus id turpis integer aliquet massa id lobortis convallis tortor, Mild Distress 
529-97-6193,07/11/15,42,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy, Other 
581-26-5472,3/13/2015,7,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia, Deprivation 
349-76-9672,4/20/2015,46,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue, Other 
989-68-4793,2/20/2015,60,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed, Other 
307-09-8719,04/02/15,87,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac, Other 
797-43-7696,12/24/2014,22,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur, Neglect 
220-62-1837,6/29/2015,68,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat, Neglect 
723-85-8865,06/09/15,27,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper, Deprivation 
620-83-1546,5/28/2015,39,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at, Perceived Physical Condition 
378-88-6858,1/31/2015,7,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris, Other 
595-90-8809,4/30/2015,32,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus, Other 
556-65-1110,6/13/2015,25,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci, Other 
770-22-6561,5/25/2015,41,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices, Other 
627-79-5997,5/20/2015,81,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula, Perceived Physical Condition 
330-07-1068,05/12/15,56,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in, SUB 
801-38-9691,1/22/2015,85,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer, Deprivation 
122-24-4317,1/25/2015,68,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus, Neglect 
932-97-4077,4/28/2015,54,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit, Perceived Physical Condition 
979-94-2467,5/25/2015,21,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis, Deprivation 
253-58-9660,07/10/15,63,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae, Other 
664-34-9245,5/22/2015,5,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales, Other 
506-14-4016,03/06/15,78,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices, Other 
513-35-3310,06/03/15,47,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas, Perceived Physical Condition 
627-15-0737,5/23/2015,26,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut, Perceived Physical Condition 
252-29-4929,02/04/15,95,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus, Neglect 
873-29-2620,7/20/2015,75,nam dui proin leo odio porttitor id consequat in consequat ut nulla, Other 
729-58-5518,7/15/2015,93,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam, Other 
791-62-3536,06/04/15,98,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui, Other 
400-52-2389,3/14/2015,15,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra, Other 
821-11-2735,3/25/2015,90,nisl duis ac nibh fusce lacus purus aliquet at feugiat non, Other 
288-59-8593,3/28/2015,90,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante, Perceived Physical Condition 
838-11-7607,03/05/15,32,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin, Perceived Physical Condition 
428-17-3887,3/24/2015,40,porttitor id consequat in consequat ut nulla sed accumsan felis, Other 
484-37-1068,01/07/15,43,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi, Other 
420-54-7482,06/08/15,8,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum, Other 
529-97-6193,02/11/15,100,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum, Deprivation 
581-26-5472,6/21/2015,95,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui, Other 
349-76-9672,4/22/2015,47,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer, Neglect 
989-68-4793,04/11/15,74,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat, Other 
307-09-8719,3/19/2015,45,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci, Other 
797-43-7696,4/22/2015,30,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel, Other 
220-62-1837,4/23/2015,40,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam, Other 
723-85-8865,5/23/2015,71,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse, Neglect 
620-83-1546,01/11/15,42,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae, Perceived Physical Condition 
378-88-6858,02/12/15,43,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere, Deprivation 
595-90-8809,02/06/15,12,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem, Deprivation 
556-65-1110,3/30/2015,82,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque, Other 
770-22-6561,6/18/2015,69,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor, Other 
627-79-5997,1/27/2015,10,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer, Other 
330-07-1068,6/26/2015,44,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit, Other 
801-38-9691,4/20/2015,37,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo, Other 
122-24-4317,2/20/2015,79,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur, Other 
932-97-4077,1/24/2015,12,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis, Other 
